program_idx,program_id,fixed_effect
0,413-GE-KG,-1.152917942
1,413-SA-KG,-1.152917942
2,420-GE-KG,-1.695959114
3,420-MS-KG,-1.695959114
4,420-SE-KG,-1.695959114
5,420-SN-KG,-1.695959114
6,435-GE-KG,-0.640213796
7,449-FB-KG,-1.813598256
8,449-GE-KG,-1.813598256
9,453-GE-KG,-4.836400768
10,453-SE-KG,-4.836400768
11,453-SN-KG,-4.836400768
12,456-GE-KG,-3.486543527
13,456-SB-KG,-3.486543527
14,476-NC-KG,0.0
15,478-GE-KG,-0.398983768
16,478-JE-KG,-0.398983768
17,478-JN-KG,-0.398983768
18,478-MM-KG,-0.398983768
19,479-GE-KG,0.3590227
20,479-KE-KG,0.3590227
21,479-KN-KG,0.3590227
22,481-GE-KG,-3.804892803
23,481-SB-KG,-3.804892803
24,485-CE-KG,0.0
25,485-CT-KG,0.0
26,488-GE-KG,-1.154947899
27,490-CB-KG,-2.273959065
28,490-GE-KG,-2.273959065
29,493-GE-KG,-3.495707841
30,497-GE-KG,-2.379850631
31,497-SE-KG,-2.379850631
32,497-SN-KG,-2.379850631
33,505-GE-KG,-1.953501438
34,507-GE-KG,-4.085119576
35,509-CE-KG,-0.672974338
36,509-CN-KG,-0.672974338
37,513-CB-KG,-3.464201817
38,513-ED-KG,-3.464201817
39,513-GE-KG,-3.464201817
40,513-SB-KG,-3.464201817
41,521-GE-KG,-4.743981546
42,525-GE-KG,-2.700883768
43,537-MS-KG,-2.998345039
44,537-SE-KG,-2.998345039
45,537-SN-KG,-2.998345039
46,539-ED-KG,-1.572698374
47,539-GE-KG,-1.572698374
48,544-GE-KG,-1.577899597
49,544-MS-KG,-1.577899597
50,549-GE-KG,-3.42015943
51,562-AF-KG,-2.950624939
52,562-CE-KG,-2.950624939
53,562-CN-KG,-2.950624939
54,562-GE-KG,-2.950624939
55,569-GE-KG,0.098211477
56,575-GE-KG,-2.755032021
57,575-SA-KG,-2.755032021
58,575-SB-KG,-2.755032021
59,589-GE-KG,-0.547351591
60,589-SA-KG,-0.547351591
61,593-GE-KG,-3.826992008
62,593-SB-KG,-3.826992008
63,603-DT-KG,-3.533250487
64,603-GE-KG,-3.533250487
65,603-SB-KG,-3.533250487
66,614-CB-KG,-4.595663474
67,614-GE-KG,-4.595663474
68,614-MM-KG,-4.595663474
69,614-SB-KG,-4.595663474
70,618-MM-KG,-2.782760321
71,618-SE-KG,-2.782760321
72,618-SN-KG,-2.782760321
73,625-GE-KG,-5.553922964
74,638-CB-KG,-3.836751949
75,638-GE-KG,-3.836751949
76,644-AF-KG,-0.982965567
77,644-GE-KG,-0.982965567
78,650-GE-KG,-4.975464391
79,650-SB-KG,-4.975464391
80,656-GE-KG,-3.498981964
81,656-SB-KG,-3.498981964
82,664-DA-KG,-0.993849448
83,664-GE-KG,-0.993849448
84,670-AF-KG,-1.627303261
85,670-GE-KG,-1.627303261
86,676-GE-KG,0.159535698
87,676-MS-KG,0.159535698
88,680-ED-KG,-4.10403256
89,680-GE-KG,-4.10403256
90,680-SE-KG,-4.10403256
91,680-SN-KG,-4.10403256
92,691-FB-KG,-2.991434168
93,691-GE-KG,-2.991434168
94,691-MM-KG,-2.991434168
95,691-SB-KG,-2.991434168
96,714-SE-KG,-2.896291491
97,714-SN-KG,-2.896291491
98,718-GE-KG,-1.435333087
99,722-AF-KG,-1.517685709
100,722-GE-KG,-1.517685709
101,723-CB-KG,-3.368921278
102,723-GE-KG,-3.368921278
103,723-SB-KG,-3.368921278
104,724-NS-KG,0.0
105,729-CB-KG,-3.139339998
106,729-GE-KG,-3.139339998
107,729-SE-KG,-3.139339998
108,729-SN-KG,-3.139339998
109,735-GE-KG,-1.41779983
110,746-GE-KG,-3.303503732
111,746-ME-KG,-3.303503732
112,746-MN-KG,-3.303503732
113,750-GE-KG,0.312125795
114,750-SA-KG,0.312125795
115,760-GE-KG,-4.40420069
116,760-MM-KG,-4.40420069
117,760-SE-KG,-4.40420069
118,760-SN-KG,-4.40420069
119,782-GE-KG,-1.721932753
120,782-MM-KG,-1.721932753
121,786-GE-KG,-2.492969138
122,786-JE-KG,-2.492969138
123,786-JN-KG,-2.492969138
124,786-MM-KG,-2.492969138
125,790-GE-KG,-2.410517543
126,796-GE-KG,-0.56102097
127,801-GE-KG,-1.975114058
128,801-SA-KG,-1.975114058
129,814-GE-KG,-0.937468601
130,816-GE-KG,-3.976144475
131,816-MS-KG,-3.976144475
132,816-SB-KG,-3.976144475
133,820-GE-KG,-3.866901595
134,823-AF-KG,-0.911175958
135,823-GE-KG,-0.911175958
136,830-GE-KG,-4.714027456
137,834-CB-KG,-3.616624032
138,834-GE-KG,-3.616624032
139,834-SB-KG,-3.616624032
140,838-GE-KG,-4.212943174
141,838-ME-KG,-4.212943174
142,838-MN-KG,-4.212943174
143,838-SA-KG,-4.212943174
144,842-GE-KG,-1.132415251
145,842-MS-KG,-1.132415251
146,848-CB-KG,-3.062071613
147,848-GE-KG,-3.062071613
148,859-ED-KG,-2.390945566
149,859-GE-KG,-2.390945566
150,862-CB-KG,-1.732402892
151,862-GE-KG,-1.732402892
152,867-CB-KG,-4.577018764
153,867-GE-KG,-4.577018764
154,872-CB-KG,-2.036269559
155,872-GE-KG,-2.036269559
156,876-CE-KG,-1.258744761
157,876-CN-KG,-1.258744761
158,876-GE-KG,-1.258744761
