program_idx,program_id
0,413-GE-KG
1,413-SA-KG
2,420-GE-KG
3,420-MS-KG
4,420-SE-KG
5,420-SN-KG
6,435-GE-KG
7,449-FB-KG
8,449-GE-KG
9,453-GE-KG
10,453-SE-KG
11,453-SN-KG
12,456-GE-KG
13,456-SB-KG
14,476-NC-KG
15,478-GE-KG
16,478-JE-KG
17,478-JN-KG
18,478-MM-KG
19,479-GE-KG
20,479-KE-KG
21,479-KN-KG
22,481-GE-KG
23,481-SB-KG
24,485-CE-KG
25,485-CT-KG
26,488-GE-KG
27,490-CB-KG
28,490-GE-KG
29,493-GE-KG
30,497-GE-KG
31,497-SE-KG
32,497-SN-KG
33,505-GE-KG
34,507-GE-KG
35,509-CE-KG
36,509-CN-KG
37,513-CB-KG
38,513-ED-KG
39,513-GE-KG
40,513-SB-KG
41,521-GE-KG
42,525-GE-KG
43,537-MS-KG
44,537-SE-KG
45,537-SN-KG
46,539-ED-KG
47,539-GE-KG
48,544-GE-KG
49,544-MS-KG
50,549-GE-KG
51,562-AF-KG
52,562-CE-KG
53,562-CN-KG
54,562-GE-KG
55,569-GE-KG
56,575-GE-KG
57,575-SA-KG
58,575-SB-KG
59,589-GE-KG
60,589-SA-KG
61,593-GE-KG
62,593-SB-KG
63,603-DT-KG
64,603-GE-KG
65,603-SB-KG
66,614-CB-KG
67,614-GE-KG
68,614-MM-KG
69,614-SB-KG
70,618-MM-KG
71,618-SE-KG
72,618-SN-KG
73,625-GE-KG
74,638-CB-KG
75,638-GE-KG
76,644-AF-KG
77,644-GE-KG
78,650-GE-KG
79,650-SB-KG
80,656-GE-KG
81,656-SB-KG
82,664-DA-KG
83,664-GE-KG
84,670-AF-KG
85,670-GE-KG
86,676-GE-KG
87,676-MS-KG
88,680-ED-KG
89,680-GE-KG
90,680-SE-KG
91,680-SN-KG
92,691-FB-KG
93,691-GE-KG
94,691-MM-KG
95,691-SB-KG
96,714-SE-KG
97,714-SN-KG
98,718-GE-KG
99,722-AF-KG
100,722-GE-KG
101,723-CB-KG
102,723-GE-KG
103,723-SB-KG
104,724-NS-KG
105,729-CB-KG
106,729-GE-KG
107,729-SE-KG
108,729-SN-KG
109,735-GE-KG
110,746-GE-KG
111,746-ME-KG
112,746-MN-KG
113,750-GE-KG
114,750-SA-KG
115,760-GE-KG
116,760-MM-KG
117,760-SE-KG
118,760-SN-KG
119,782-GE-KG
120,782-MM-KG
121,786-GE-KG
122,786-JE-KG
123,786-JN-KG
124,786-MM-KG
125,790-GE-KG
126,796-GE-KG
127,801-GE-KG
128,801-SA-KG
129,814-GE-KG
130,816-GE-KG
131,816-MS-KG
132,816-SB-KG
133,820-GE-KG
134,823-AF-KG
135,823-GE-KG
136,830-GE-KG
137,834-CB-KG
138,834-GE-KG
139,834-SB-KG
140,838-GE-KG
141,838-ME-KG
142,838-MN-KG
143,838-SA-KG
144,842-GE-KG
145,842-MS-KG
146,848-CB-KG
147,848-GE-KG
148,859-ED-KG
149,859-GE-KG
150,862-CB-KG
151,862-GE-KG
152,867-CB-KG
153,867-GE-KG
154,872-CB-KG
155,872-GE-KG
156,876-CE-KG
157,876-CN-KG
158,876-GE-KG
