program_idx,program_id,remaining_cap
0,413-GE-KG,70
1,413-SA-KG,3
2,420-GE-KG,35
3,420-MS-KG,3
4,420-SE-KG,6
5,420-SN-KG,23
6,435-GE-KG,64
7,449-FB-KG,20
8,449-GE-KG,55
9,453-GE-KG,20
10,453-SE-KG,9
11,453-SN-KG,10
12,456-GE-KG,22
13,456-SB-KG,16
14,476-NC-KG,15
15,478-GE-KG,30
16,478-JE-KG,22
17,478-JN-KG,10
18,478-MM-KG,2
19,479-GE-KG,37
20,479-KE-KG,4
21,479-KN-KG,8
22,481-GE-KG,19
23,481-SB-KG,29
24,485-CE-KG,28
25,485-CT-KG,15
26,488-GE-KG,47
27,490-CB-KG,67
28,490-GE-KG,39
29,493-GE-KG,29
30,497-GE-KG,22
31,497-SE-KG,11
32,497-SN-KG,23
33,505-GE-KG,33
34,507-GE-KG,43
35,509-CE-KG,15
36,509-CN-KG,23
37,513-CB-KG,25
38,513-ED-KG,2
39,513-GE-KG,36
40,513-SB-KG,14
41,521-GE-KG,46
42,525-GE-KG,48
43,537-MS-KG,4
44,537-SE-KG,18
45,537-SN-KG,32
46,539-ED-KG,2
47,539-GE-KG,64
48,544-GE-KG,69
49,544-MS-KG,3
50,549-GE-KG,39
51,562-AF-KG,6
52,562-CE-KG,2
53,562-CN-KG,11
54,562-GE-KG,21
55,569-GE-KG,32
56,575-GE-KG,35
57,575-SA-KG,4
58,575-SB-KG,18
59,589-GE-KG,47
60,589-SA-KG,2
61,593-GE-KG,62
62,593-SB-KG,15
63,603-DT-KG,10
64,603-GE-KG,46
65,603-SB-KG,42
66,614-CB-KG,19
67,614-GE-KG,42
68,614-MM-KG,4
69,614-SB-KG,12
70,618-MM-KG,4
71,618-SE-KG,13
72,618-SN-KG,28
73,625-GE-KG,43
74,638-CB-KG,17
75,638-GE-KG,19
76,644-AF-KG,2
77,644-GE-KG,64
78,650-GE-KG,45
79,650-SB-KG,19
80,656-GE-KG,45
81,656-SB-KG,19
82,664-DA-KG,4
83,664-GE-KG,76
84,670-AF-KG,1
85,670-GE-KG,73
86,676-GE-KG,41
87,676-MS-KG,3
88,680-ED-KG,2
89,680-GE-KG,44
90,680-SE-KG,10
91,680-SN-KG,22
92,691-FB-KG,21
93,691-GE-KG,38
94,691-MM-KG,1
95,691-SB-KG,20
96,714-SE-KG,13
97,714-SN-KG,20
98,718-GE-KG,57
99,722-AF-KG,5
100,722-GE-KG,46
101,723-CB-KG,12
102,723-GE-KG,20
103,723-SB-KG,15
104,724-NS-KG,28
105,729-CB-KG,11
106,729-GE-KG,22
107,729-SE-KG,6
108,729-SN-KG,19
109,735-GE-KG,35
110,746-GE-KG,33
111,746-ME-KG,0
112,746-MN-KG,9
113,750-GE-KG,34
114,750-SA-KG,3
115,760-GE-KG,16
116,760-MM-KG,4
117,760-SE-KG,12
118,760-SN-KG,19
119,782-GE-KG,39
120,782-MM-KG,3
121,786-GE-KG,37
122,786-JE-KG,24
123,786-JN-KG,10
124,786-MM-KG,4
125,790-GE-KG,38
126,796-GE-KG,46
127,801-GE-KG,38
128,801-SA-KG,3
129,814-GE-KG,24
130,816-GE-KG,21
131,816-MS-KG,3
132,816-SB-KG,41
133,820-GE-KG,48
134,823-AF-KG,3
135,823-GE-KG,55
136,830-GE-KG,16
137,834-CB-KG,16
138,834-GE-KG,17
139,834-SB-KG,17
140,838-GE-KG,22
141,838-ME-KG,12
142,838-MN-KG,20
143,838-SA-KG,4
144,842-GE-KG,45
145,842-MS-KG,4
146,848-CB-KG,15
147,848-GE-KG,20
148,859-ED-KG,2
149,859-GE-KG,59
150,862-CB-KG,6
151,862-GE-KG,44
152,867-CB-KG,18
153,867-GE-KG,39
154,872-CB-KG,13
155,872-GE-KG,21
156,876-CE-KG,5
157,876-CN-KG,8
158,876-GE-KG,44
