Geocode,School Code
1,4640
2,4640
3,4640
4,4640
5,4640
6,4640
7,4640
8,4640
9,4640
10,4640
11,4640
12,4640
13,4640
14,4640
15,4640
16,4640
17,4640
18,4640
19,4640
20,4640
21,4640
22,4640
23,4640
24,4640
25,4640
26,4640
27,4640
28,4640
29,4640
30,4640
31,4640
32,4640
33,4640
34,4640
35,4640
36,4640
37,4640
38,4640
39,4640
40,4640
41,4640
42,4640
43,4640
44,4640
45,4640
46,4640
47,4640
48,4640
49,4640
50,4640
51,4640
52,4640
53,4640
54,4640
55,4640
56,4640
57,4640
58,4640
59,4640
60,4640
61,4640
62,4640
63,4640
64,4640
65,4640
66,4640
67,4640
68,4640
69,4640
70,4640
71,4640
72,4640
73,4640
74,4640
75,4640
76,4640
77,4640
78,4640
79,4640
80,4640
81,4640
82,4640
83,4640
84,4640
85,4640
86,4640
87,4640
88,4640
89,4640
90,4640
91,4640
92,4640
93,4640
94,4640
95,4640
96,4640
97,4640
98,4640
99,4640
100,4640
101,4640
102,4640
103,4640
104,4640
105,4640
106,4640
107,4640
108,4640
109,4640
110,4640
111,4640
112,4640
113,4640
114,4640
115,4640
116,4640
117,4640
118,4640
119,4640
120,4640
121,4640
122,4640
123,4640
124,4640
125,4640
126,4640
127,4640
128,4640
129,4640
130,4640
131,4640
132,4640
133,4640
134,4640
135,4640
136,4640
137,4640
138,4640
139,4640
140,4640
141,4640
142,4640
143,4640
144,4640
145,4640
146,4640
147,4640
148,4640
149,4640
150,4640
151,4640
152,4640
153,4640
154,4640
155,4640
156,4640
157,4640
158,4640
159,4640
160,4640
161,4640
162,4640
163,4640
164,4640
165,4640
166,4640
167,4640
168,4640
169,4640
170,4640
171,4640
172,4052
173,4640
174,4640
175,4052
176,4052
177,4052
178,4052
179,4052
180,4052
181,4052
182,4052
183,4052
184,4052
185,4052
186,4052
187,4022
188,4022
189,4022
190,4022
191,4640
192,4022
193,4022
194,4022
195,4022
196,4022
197,4022
198,4022
199,4022
200,4022
201,4022
202,4022
203,4022
204,4022
205,4022
206,4590
207,4590
208,4022
209,4022
210,4022
211,4022
212,4022
213,4022
214,4022
215,4022
216,4022
217,4022
218,4022
219,4022
220,4022
221,4022
222,4022
223,4022
224,4590
225,4022
226,4022
227,4022
228,4590
229,4022
230,4022
231,4022
232,4590
233,4022
234,4022
235,4022
236,4022
237,4052
238,4052
239,4052
240,4022
241,4250
242,4250
243,4250
244,4022
245,4022
246,4052
247,4250
248,4250
249,4250
250,4250
251,4022
252,4250
253,4250
254,4250
255,4250
256,4022
257,4250
258,4052
259,4052
260,4052
261,4052
262,4052
263,4052
264,4052
265,4055
266,4055
267,4052
268,4052
269,4052
270,4052
271,4640
272,4052
273,4640
274,4640
275,4640
276,4052
277,4052
278,4052
279,4052
280,4052
281,4055
282,4240
283,4640
284,4640
285,4640
286,4640
287,4052
288,4052
289,4640
290,4230
291,4230
292,4230
293,4230
294,4240
295,4055
296,4055
297,4055
298,4055
299,4240
300,4230
301,4230
302,4230
303,4230
304,4230
305,4055
306,4055
307,4055
308,4055
309,4055
310,4055
311,4055
312,4055
313,4055
314,4055
315,4055
316,4055
317,4055
318,4055
319,4055
320,4055
321,4055
322,4055
323,4055
324,4052
325,4052
326,4055
327,4052
328,4055
329,4055
330,4055
331,4052
332,4250
333,4084
334,4084
335,4084
336,4084
337,4084
338,4084
339,4084
340,4084
341,4084
342,4084
343,4084
344,4084
345,4084
346,4084
347,4084
348,4084
349,4084
350,4084
351,4084
352,4084
353,4084
354,4084
355,4084
356,4084
357,4084
358,4084
359,4084
360,4084
361,4084
362,4084
363,4084
364,4084
365,4084
366,4084
367,4084
368,4084
369,4291
370,4291
371,4250
372,4291
373,4291
374,4291
375,4291
376,4291
377,4291
378,4291
379,4291
380,4291
381,4291
382,4291
383,4291
384,4291
385,4291
386,4291
387,4291
388,4291
389,4291
390,4291
391,4291
392,4084
393,4084
394,4084
395,4084
396,4084
397,4084
398,4084
399,4084
400,4084
401,4084
402,4084
403,4291
404,4291
405,4291
406,4291
407,4291
408,4291
409,4600
410,4600
411,4600
412,4291
413,4291
414,4291
415,4291
416,4291
417,4084
418,4084
419,4291
420,4070
421,4070
422,4070
423,4070
424,4070
425,4070
426,4070
427,4070
428,4291
429,4084
430,4084
431,4084
432,4084
433,4084
434,4084
435,4084
436,4084
437,4084
438,4084
439,4084
440,4084
441,4084
442,4084
443,4084
444,4084
445,4084
446,4084
447,4084
448,4084
449,4084
450,4084
451,4084
452,4084
453,4084
454,4084
455,4084
456,4084
457,4084
458,4084
459,4084
460,4084
461,4084
462,4084
463,4084
464,4084
465,4084
466,4291
467,4291
468,4070
469,4070
470,4070
471,4070
472,4070
473,4070
474,4070
475,4070
476,4070
477,4070
478,4070
479,4070
480,4070
481,4070
482,4070
483,4070
484,4070
485,4070
486,4070
487,4070
488,4070
489,4070
490,4070
491,4070
492,4070
493,4070
494,4070
495,4070
496,4070
497,4070
498,4070
499,4070
500,4070
501,4070
502,4690
503,4690
504,4690
505,4370
506,4690
507,4370
508,4370
509,4370
510,4370
511,4070
512,4070
513,4070
514,4190
515,4200
516,4190
517,4200
518,4200
519,4070
520,4190
521,4190
522,4190
523,4200
524,4200
525,4200
526,4201
527,4201
528,4201
529,4201
530,4201
531,4201
532,4201
533,4200
534,4200
535,4200
536,4200
537,4200
538,4190
539,4200
540,4200
541,4190
542,4190
543,4190
544,4190
545,4201
546,4070
547,4201
548,4190
549,4370
550,4190
551,4190
552,4190
553,4690
554,4070
555,4070
556,4070
557,4190
558,4370
559,4370
560,4370
561,4690
562,4370
563,4370
564,4370
565,4690
566,4055
567,4240
568,4055
569,4370
570,4240
571,4240
572,4055
573,4240
574,4230
575,4230
576,4230
577,4230
578,4230
579,4230
580,4230
581,4230
582,4230
583,4230
584,4242
585,4242
586,4242
587,4242
588,4242
589,4242
590,4640
591,4640
592,4230
593,4230
594,4640
595,4640
596,4640
597,4640
598,4640
599,4640
600,4230
601,4242
602,4230
603,4370
604,4370
605,4230
606,4370
607,4230
608,4230
609,4230
610,4230
611,4230
612,4230
613,4230
614,4230
615,4230
616,4230
617,4230
618,4640
619,4640
620,4640
621,4640
622,4640
623,4640
624,4640
625,4640
626,4640
627,4640
628,4640
629,4640
630,4640
631,4640
632,4640
633,4230
634,4230
635,4230
636,4230
637,4230
638,4230
639,4230
640,4230
641,4230
642,4230
643,4370
644,4370
645,4240
646,4370
647,4240
648,4370
649,4370
650,4370
651,4370
652,4370
653,4230
654,4370
655,4370
656,4370
657,4370
658,4370
659,4370
660,4370
661,4370
662,4370
663,4370
664,4370
665,4370
666,4370
667,4370
668,4370
669,4370
670,4370
671,4370
672,4370
673,4370
674,4370
675,4370
676,4370
677,4370
678,4370
679,4370
680,4370
681,4370
682,4370
683,4370
684,4370
685,4370
686,4370
687,4370
688,4370
689,4370
690,4370
691,4370
692,4370
693,4370
694,4370
695,4370
696,4370
697,4370
698,4370
699,4370
700,4370
701,4370
702,4370
703,4370
704,4370
705,4370
706,4370
707,4370
708,4370
709,4370
710,4370
711,4370
712,4370
713,4370
714,4370
715,4370
716,4370
717,4370
718,4370
719,4370
720,4370
721,4370
722,4370
723,4370
724,4370
725,4370
726,4370
727,4370
728,4370
729,4370
730,4370
731,4370
732,4370
733,4370
734,4370
735,4370
736,4370
737,4370
738,4370
739,4370
740,4370
741,4370
742,4370
743,4370
744,4370
745,4370
746,4370
747,4370
748,4370
749,4640
750,4640
751,4640
752,4640
753,4640
754,4640
755,4640
756,4640
757,4640
758,4640
759,4640
760,4640
761,4640
762,4640
763,4640
764,4640
765,4640
766,4640
767,4640
768,4640
769,4640
770,4640
771,4640
772,4640
773,4640
774,4640
775,4640
776,4640
777,4640
778,4640
779,4640
780,4640
781,4640
782,4640
783,4640
784,4640
785,4640
786,4640
787,4640
788,4640
789,4640
790,4640
791,4640
792,4640
793,4640
794,4640
795,4640
796,4640
797,4640
798,4640
799,4640
800,4640
801,4640
802,4640
803,4640
804,4640
805,4640
806,4640
807,4640
808,4640
809,4640
810,4640
811,4640
812,4640
813,4640
814,4640
815,4640
816,4640
817,4084
818,4070
819,4250
820,4640
821,4370
822,4370
823,4250
824,4640
825,4201
826,4201
827,4200
828,4190
829,4070
830,4291
831,4291
832,4291
833,4291
834,4084
835,4084
836,4084
837,4084
838,4055
839,4055
840,4055
841,4084
842,4022
843,4022
844,4230
845,4230
846,4052
847,4052
848,4230
849,4242
850,4242
851,4640
852,4640
853,4022
854,4640
855,4640
856,4640
857,4640
858,4240
859,4084
860,4084
861,4084
862,4070
863,4230
864,4370
865,4055
866,4055
867,4084
