Geocode,Tally
2,10
3,2
4,1
5,5
6,5
7,13
8,3
9,7
10,10
12,7
13,1
14,17
15,5
16,12
17,29
19,26
20,16
21,23
22,25
23,38
24,37
25,15
26,22
27,5
28,9
29,16
30,28
32,9
33,20
34,8
35,12
37,7
38,4
40,1
41,11
42,17
43,18
44,13
45,10
46,1
47,2
51,2
52,4
53,10
54,14
55,11
56,6
57,8
58,7
59,5
60,2
62,9
63,2
66,2
67,2
70,2
76,1
81,3
83,2
84,3
85,2
86,3
87,2
88,4
89,5
91,2
97,1
101,2
111,1
112,1
113,1
116,15
117,2
118,1
123,16
124,5
127,5
128,3
139,3
143,1
145,6
146,2
147,3
149,6
150,1
151,3
152,1
153,2
154,4
155,2
156,5
157,6
158,13
159,1
160,2
161,5
162,6
163,3
164,10
165,3
166,11
167,4
168,2
170,6
173,1
178,1
180,1
181,11
182,6
183,4
184,5
185,2
186,3
187,8
188,8
189,1
190,18
191,1
192,13
193,1
194,1
196,1
197,18
198,6
199,1
200,1
201,2
206,2
207,1
212,3
214,5
215,4
216,2
217,6
218,2
219,6
220,4
222,5
224,2
225,2
226,2
227,2
228,2
229,2
230,1
231,7
232,1
233,2
234,2
235,2
236,6
237,10
238,7
239,3
240,6
241,5
242,15
243,7
244,6
245,15
246,3
247,11
248,3
249,5
250,1
253,2
254,7
255,3
256,3
257,13
258,3
259,7
260,6
261,6
262,7
263,6
264,4
265,7
266,2
267,5
268,9
271,5
273,6
274,18
275,2
276,14
279,2
280,1
281,3
282,1
283,2
284,5
285,11
286,2
288,2
289,11
291,1
292,3
293,5
294,4
295,4
296,5
297,6
298,4
299,1
300,2
301,3
302,2
303,7
304,25
305,2
306,3
307,13
308,9
309,4
310,1
311,9
312,10
313,7
314,3
315,11
316,13
317,21
318,12
319,5
320,6
321,6
322,3
323,4
324,4
325,15
326,15
327,11
328,9
329,14
330,28
331,6
332,15
333,3
334,16
335,8
336,13
337,14
338,4
339,2
340,12
341,11
342,10
343,4
344,5
345,23
346,9
347,17
348,2
349,3
350,7
351,5
352,11
353,2
354,1
355,5
357,12
358,9
359,11
360,4
361,8
362,4
363,6
364,16
365,8
366,10
367,13
368,6
369,5
372,2
373,4
374,6
375,2
376,1
377,8
378,9
379,6
380,4
381,1
382,3
383,5
384,1
385,1
387,5
388,5
389,4
390,1
391,2
392,8
393,16
394,1
396,4
397,9
399,4
400,2
401,3
402,7
403,8
404,3
406,1
408,3
409,2
411,4
412,8
414,2
415,2
416,8
417,13
418,9
419,4
420,1
421,12
422,4
423,4
424,1
426,5
427,11
428,18
429,5
430,2
431,4
432,8
433,4
434,14
435,11
436,3
437,7
438,6
439,5
441,15
442,5
443,1
444,10
445,6
446,3
447,5
448,3
449,1
450,7
451,6
452,3
453,11
454,2
455,4
456,6
457,8
458,5
459,5
460,3
461,6
462,15
463,6
464,11
465,7
466,4
467,8
468,9
469,10
470,2
472,1
473,2
474,2
475,5
476,1
478,12
479,2
480,7
481,1
482,3
484,6
485,9
486,5
487,2
488,1
489,6
491,1
492,10
493,21
494,1
495,7
496,7
497,2
498,8
499,11
500,2
501,17
502,9
503,2
504,4
505,3
506,8
507,3
508,6
509,11
510,3
512,5
514,3
515,5
516,8
517,8
518,2
519,9
520,1
521,3
522,2
524,5
525,5
527,1
529,6
530,4
531,5
532,4
533,2
534,3
535,4
536,7
537,3
539,5
540,9
541,9
542,6
544,4
546,6
547,4
548,4
549,1
550,10
551,5
552,11
553,5
554,1
555,6
556,11
557,3
558,3
559,5
560,4
561,5
562,3
563,20
564,12
565,1
566,3
567,2
569,3
570,20
571,6
572,8
573,3
574,5
575,1
576,2
577,12
578,6
579,7
580,6
581,9
582,17
583,7
584,1
585,1
586,1
587,4
589,5
591,1
593,2
594,1
597,1
600,1
601,1
602,2
606,2
607,3
608,1
609,1
610,4
611,16
616,1
617,1
618,2
619,3
620,1
621,2
622,1
624,3
626,1
627,4
630,1
634,4
635,2
636,4
637,7
639,10
640,10
641,1
642,1
643,1
644,13
645,2
646,1
647,3
648,5
649,6
650,11
651,2
652,7
653,1
655,2
656,6
657,3
658,1
659,2
660,2
661,3
662,8
663,3
664,11
667,2
668,1
670,2
672,2
673,4
674,2
675,3
676,4
677,4
678,1
679,9
680,4
681,8
682,5
683,3
684,4
685,8
686,3
687,11
688,7
689,2
690,6
691,4
692,6
693,7
694,1
695,3
696,2
697,4
698,2
700,3
701,3
702,3
703,2
704,3
705,2
706,4
707,1
708,5
709,2
711,3
712,2
713,2
714,2
715,5
716,7
718,4
719,1
720,2
721,1
722,3
723,4
724,4
725,2
726,3
727,5
730,6
731,1
732,4
734,4
735,2
736,1
737,2
738,2
739,2
740,2
741,2
742,4
743,2
746,5
747,3
750,3
751,7
755,1
756,2
759,5
760,4
761,2
762,1
764,3
765,4
766,2
767,2
768,10
769,3
770,1
771,3
773,2
774,2
775,3
776,1
777,2
778,1
779,3
780,7
781,3
782,4
783,1
784,6
785,2
786,1
787,3
788,3
790,1
792,2
793,5
794,15
795,6
796,2
799,1
801,7
803,8
805,4
806,1
807,10
808,4
809,4
810,1
811,3
812,2
813,1
814,3
815,2
816,8
817,6
818,2
821,4
822,12
823,16
824,24
825,1
826,48
827,3
828,14
829,3
831,1
832,11
833,4
834,15
835,5
836,1
837,7
838,20
839,5
840,4
841,1
842,5
843,1
844,2
845,24
846,1
847,2
848,10
849,5
850,4
851,8
852,10
853,1
854,2
855,16
856,10
857,7
858,6
859,15
860,9
861,11
862,4
863,6
864,1
865,8
866,4
867,3
