School Code,School Name,School Label,Geocode,Quality,K2 Capacity,Capacity School
4022,Perkins Elementary,Perkins,217,1.2867787049,33,1
4030,Beethoven Elementary,Beethoven,712,3.3412039995,89,0
4031,Kilmer K-8 (K-3),Kilmer,717,3.2813297602,58,0
4052,Winthrop Elementary,Winthrop,324,0.4065275411,53,1
4053,Hernandez K-8,Hernandez,572,1.6395306382,50,0
4055,King K-8,King,328,0.0530696632,49,1
4061,Guild Elementary,Guild,7,1.7277316406,31,0
4062,Bradley Elementary,Bradley,8,2.3844338471,46,0
4070,Chittick Elementary,Chittick,486,0.7463553468,44,1
4080,Conley Elementary,Conley,553,1.7455561534,23,0
4081,Bates Elementary,Bates,668,1.7802930737,46,0
4082,Mozart Elementary,Mozart,683,2.0735240466,23,0
4084,Holmes Elementary,Holmes,453,0.4668012813,50,1
4100,Dever Elementary,Dever,843,1.7920392288,75,0
4113,Hale Elementary,Hale,293,0.7315556579,23,0
4121,Mason Elementary,Mason,181,0.9551978377,30,0
4123,Dudley Street Neighborhood Charter School,Dudley,181,1.4534280153,40,0
4130,Greenwood Sarah K-8,S. Greenwood,835,1.0614442629,50,0
4140,Everett Elementary,Everett,823,1.5391218252,44,0
4151,Taylor Elementary,Taylor,413,0.8384067762,81,0
4160,Gardner Pilot Academy,Gardner,810,2.4742742754,34,0
4171,Lyon K-8,Lyon K-8,760,2.6140255657,11,0
4173,Winship Elementary,Winship,771,2.2856569097,35,0
4178,Edison K-8,Edison,750,2.0964243851,64,0
4190,E Greenwood Leadership,E Greenwood,492,1.598924758,53,1
4193,Roosevelt K-8 (K1-1),Roosevelt,527,3.1122104496,38,0
4200,Grew Elementary,Grew,543,1.6882463242,44,1
4201,Channing Elementary,Channing,539,1.7753605305,44,1
4210,Haley Elementary,Haley,503,2.1284894528,36,0
4230,Hennigan Elementary,Hennigan,583,1.2461854941,75,1
4231,West Zone ELC,West Zone ELC,583,1.1589184302,31,0
4240,Ellis Elementary,Ellis,316,0.1050465867,64,1
4242,Higginson/Lewis K-8,Higginson/Lewis,305,0,46,1
4250,Holland Elementary,Holland,337,1.0869003785,117,1
4260,Hurley K-8,Hurley,156,2.3070609843,45,0
4270,Kennedy John F Elementary,J.F. Kennedy,579,1.1109786911,66,0
4272,Curley K-8,Curley,635,2.2170229664,67,0
4280,Harvard/Kent Elementary,Harvard/Kent,41,2.3632841187,106,0
4283,Warren/Prescott K-8,Warren/Prescott,55,2.9244026313,66,0
4285,Mission Hill K-8,Mission Hill,648,2.2796860541,21,0
4290,Lee Elementary,Lee,439,0.0555490974,44,0
4291,Lee Academy,Lee,439,1.2877825148,40,1
4311,Manning Elementary,Manning,656,2.2360787828,21,0
4322,Otis Elementary,Otis,22,2.0569509776,63,0
4323,Mario Umana Academy,Mario Umana,26,2.2181076057,63,0
4331,Lyndon K-8,Lyndon,734,3.0115340345,52,0
4345,UP Academy Dorchester,UP Acad. Dor.,357,1.2522020725,79,0
4350,Mather Elementary,Mather,339,1.3677705583,89,0
4360,McKay K-8,McKay,30,2.2928523425,67,0
4361,Adams Elementary,Adams,34,1.9490258857,42,0
4370,Mendell Elementary,Mendell,577,1.5899909602,37,1
4381,Eliot K-8,Eliot,83,3.0373713064,54,0
4390,Kenny Elementary,Kenny,379,0.7151122258,28,0
4391,Henderson Elementary,Henderson,361,1.5641514518,18,0
4400,Murphy K-8,Murphy,369,2.4053793357,64,0
4440,Ellison/Parks EES,Ellison/Parks,424,1.909551484,35,0
4450,East Boston EEC,East Boston EEC,30,2.4379477605,46,0
4460,Haynes EEC,Haynes,311,1.2775723606,65,0
4530,Russell Elementary,Russell,236,1.1850008024,42,0
4531,Clap Innovation School,Clap,187,1.5578441101,22,0
4541,Kennedy Patrick Elementary,Kennedy Patrick,19,2.0690115884,47,0
4543,O'Donnell Elementary,O'Donnell,24,1.6346990147,43,0
4560,Sumner Elementary,Sumner,562,1.2906792964,116,0
4561,Philbrick Elementary,Philbrick,502,1.8716151282,24,0
4570,Tobin K-8,Tobin,601,0.8040202688,42,0
4580,Trotter Elementary,Trotter,312,0.8962763004,93,1
4590,Tynan Elementary,Tynan,226,1.5636784119,27,1
4592,Perry K-8,Perry,231,2.7165339841,22,0
4600,Young Achievers K-8,Young Achievers,468,2.1681981968,49,1
4620,Jackson/Mann K-8,Jackson/Mann,795,1.2311891091,61,0
4621,Baldwin ELC,Baldwin,786,2.7199581397,44,0
4630,Condon Elementary,Condon,853,1.818810459,99,0
4640,Blackstone Elementary,Blackstone,166,1.5056483795,67,1
4650,Quincy Elementary,Quincy,127,2.7650196657,116,0
4661,BTU K-8 Pilot,BTU,508,2.7099005889,23,0
4680,Orchard Gardens K-8,Orchard Gardens,269,1.7977377354,73,0
4690,Mattahunt Elementary,Mattahunt,473,0.7849136442,61,1
